RHAG,DDIT4,MPO,CCL3,MAFF,TYMS,ENPP2,TOP2A,KIF11,PRG2,CEP55,NUSAP1,PTTG1,CD24,CCNB2,HMMR,MLF1IP,FABP5,CD69,EMP1,RACGAP1,TTK,NME1,TFRC,EBI3,CCRL2,KIF14,TFDP2,MT1G,H1F0,TPX2,BTG3,RAB13,CASC5,MT1E,E2F8,STAT4,CKS1B,CCNE2,TNFAIP3,MCM6,NDUFS5,RPL10,BUB1B,NNMT,KIF4A,COX7B,PCNT,WBP5,TARS,CCL20,JUN,FEN1,AURKA,SNRPG,UBE2C,CLEC7A,MANSC1,CD302,NUAK2,RCBTB2,FGL2,RGS2,CPVL,CCR2,TGFBI
3.226324985,6.622471854,2.359187069,2.410813795,7.942766453,3.44633575,3.220991092,2.621028561,1.661918086,2.300812979,1.959077095,3.186007611,4.656089068,8.357856468,2.820186583,2.305014135,2.956313274,5.512938774,4.065148117,6.901577094,4.303770513,1.929793057,4.203759291,7.744480204,2.582308428,3.345896094,2.206037237,3.077771513,4.455875809,5.16708483,1.773865757,3.723750792,4.614053305,3.173223667,4.631027213,2.588535607,3.822033256,3.373526975,2.468421587,7.109146188,6.042594772,6.861609577,6.861609577,1.225925579,3.512920346,2.185366184,9.038769426,3.729844076,1.730119416,5.375135647,1.824171184,2.507336171,3.4713898,3.059402671,8.463196698,3.564284565,10.63682177,9.970001426,10.29907764,9.268853697,8.543375328,11.90132322,11.56808827,7.646508775,9.008806163,9.409805639
4.00720734,7.980259331,4.919549013,4.742232869,5.110306754,5.605498854,3.321525212,4.197741477,2.382850033,2.291976327,2.867351352,5.576128624,5.343623651,9.368914759,3.979463058,4.608390649,4.173936406,5.783937787,5.68611307,4.536543289,5.993147713,3.831963932,8.339702928,9.350892044,2.023339694,3.245965978,3.700276248,3.204382064,4.421568799,2.661546264,2.017586322,3.956068447,4.9302403,4.147183942,3.678169055,2.599876653,4.719106042,5.178743372,4.060340895,9.028654939,6.833382112,9.089897056,9.089897056,2.629886695,3.220947792,2.791212637,11.00279967,5.110154326,1.682256592,7.513632738,2.075421222,2.831158145,4.05044608,3.316769934,10.92985639,3.847125922,9.67202251,9.834203403,8.728455493,7.790057779,8.519885499,10.9455454,11.26617625,8.123949447,9.673326716,6.068203323
2.455349233,5.467119327,1.963830282,2.431881326,5.58578452,4.592024364,3.958269652,3.100693693,1.935499217,2.221096379,1.939015883,4.743732221,4.840773789,7.696653335,3.121233023,2.323793219,2.849788074,4.91588497,3.764209207,2.640058789,4.313609554,2.107560077,3.502475638,6.517365666,2.760159422,3.836585931,2.392700546,3.581404197,5.399801858,4.150532669,2.041551129,4.134393492,4.265075465,3.476778953,4.29720894,3.075560011,4.881136087,3.404471869,2.670354034,7.975456104,6.51303384,6.034855217,6.034855217,1.873349289,3.186677864,2.142012098,6.582100473,3.780478788,1.728025399,5.365894127,1.999795767,2.992359564,3.461497578,3.201717649,7.331783807,3.788430153,10.68609341,10.01621031,9.775792224,9.550996149,8.141408335,11.85545053,12.18370246,8.697599243,9.518904755,10.04883144
6.688673088,6.43673572,5.060766623,3.085586125,4.731705892,5.10296482,2.422680093,3.057327031,2.770003436,2.156879722,2.49206096,5.202622983,5.823175586,10.08228252,3.542168771,3.56145965,4.087208534,4.881807617,5.971387617,2.741610251,5.29045104,3.472315589,7.342296237,8.627642797,2.075466417,2.991535117,2.839656973,4.096290177,3.964165835,3.165389777,2.009058957,4.706058265,4.6613879,4.179141596,3.21240552,2.720630099,4.734956616,4.372123184,4.382964867,8.209707676,7.779880782,8.750299081,8.750299081,2.009142502,2.862473089,2.766681862,10.37442444,5.08407293,2.09620731,6.768769707,1.763840888,3.072189391,3.33819552,2.807334224,10.30047727,4.307730159,10.01909544,10.07972656,10.52519545,8.326555657,8.575678785,11.4582944,11.93971242,7.429936092,9.571836764,8.251839813
1.927249077,9.410380904,2.736289084,2.495562858,1.486526211,4.013290642,1.860288212,2.167770494,1.680437394,1.786221742,1.954386139,2.922811204,3.990989669,8.848293723,3.061680336,2.008895148,4.052243552,3.38701379,3.642144491,2.681891075,4.717350486,2.444926151,4.730478049,7.004083228,2.42224857,3.130813467,2.769019122,3.359572432,3.944977347,4.651653055,2.260624924,3.794111237,5.784166169,3.102377524,3.316858221,2.143889708,2.717293667,2.908099976,3.072514003,9.431084164,4.60617002,7.272978599,7.272978599,1.0769548,3.419035793,2.353614635,9.221361486,3.671831398,1.617703183,5.313429389,2.009769942,3.232593526,3.358605074,3.201213896,9.201188223,3.837573928,10.33291898,10.70299744,10.81971797,9.158555056,8.234688385,11.39062337,12.86444956,8.553568877,10.16327755,9.827055407
1.700347237,8.42878871,2.534647748,5.431056899,7.195200078,7.660835281,2.516921083,5.044351314,5.314955512,1.945324312,4.711913794,7.069710478,8.283528609,7.359070455,6.464842489,6.215280219,5.925116096,7.458048678,5.785114023,1.792695216,6.828163973,5.273349446,8.099241509,8.415944792,2.612882598,3.224164868,5.444723723,4.421363152,5.074167457,2.242314192,3.2924975,5.437495816,5.055756139,6.153722861,6.508227849,2.725745978,7.693136829,5.748892673,4.90659271,9.297935168,8.402711605,9.140731587,9.140731587,3.165848871,2.627474877,3.122139619,11.00310173,6.4907244,1.542523034,7.20490106,1.712254213,2.759766031,4.8250305,4.155854542,11.24306025,4.514091706,9.416096676,8.568182116,8.934513066,7.906428626,8.048064457,11.39138387,10.38354029,8.144335035,9.155710979,6.871993486
9.286952046,5.287240742,3.171264978,2.387985534,8.324395814,4.000305562,1.905381021,3.779988876,1.685950028,3.338345862,1.677980702,4.190591903,7.661090379,8.972630546,3.970615933,2.669285525,3.567587917,3.449838935,2.982079841,1.864840562,3.745696038,2.795846198,3.022351741,11.10120935,3.231728243,4.088741749,2.931947479,5.25565716,5.084757921,5.116510252,2.815608691,3.880134661,4.51549893,3.192247613,4.040247944,2.895103416,3.1963707,3.848371984,2.980491881,6.882241913,4.101012492,4.918889502,4.918889502,2.148753695,4.343140272,2.738820221,10.5323869,4.391216594,2.228371966,5.708830324,2.275693667,2.778047192,3.559485651,3.56173798,7.702865398,4.096255707,8.684730768,9.037920486,8.720631403,6.844003219,5.573553266,10.32382478,11.47965256,6.695360986,7.050020419,6.911405613
2.428183339,5.65129384,3.336549595,3.098148046,6.536027897,5.133359985,2.839596202,3.635871836,2.067474375,2.100005226,3.798087093,5.082211563,5.920523502,8.861558963,4.144820786,3.802823114,2.830680011,4.58235873,8.134075779,2.83443533,3.555910533,3.423783454,4.317586406,6.447558533,2.831336078,6.086296497,3.03376782,3.467245705,6.225068396,4.207635835,2.402174742,4.063017075,5.011668274,3.825853839,4.759111083,2.478097696,4.702589079,3.543594174,2.995271525,9.802503875,5.292821303,6.483249708,6.483249708,2.107457963,3.124314254,2.201493937,9.506757686,2.937965646,1.949590611,6.977449557,1.90152132,2.80514335,3.67808801,2.923672973,9.194328543,4.103907158,10.63647281,9.64962748,9.458336831,9.335287752,9.5760518,12.12642094,10.29079682,6.453567719,8.331170658,5.515449553
1.209754365,9.0639535,8.26522608,2.343689153,5.21326861,10.11008679,3.065567232,7.884755742,7.195652904,3.263162645,6.848383275,9.272331693,9.664395184,11.00146839,8.17451026,7.710743312,7.476070739,8.746287359,4.84895617,2.340605143,7.796091924,6.464857845,9.091258639,9.035733184,2.890468357,3.834216126,7.330656665,5.839916695,4.859474752,6.142917011,5.790699431,5.962467013,8.15576455,7.201022395,4.623870997,6.326763265,5.625851964,7.243060397,7.026671958,8.608155203,9.53003325,9.55278476,9.55278476,6.48919212,3.714909365,6.067918686,11.017719,5.154188665,2.53938794,8.344001365,2.148996421,4.238403947,6.718844179,7.335964384,10.68099545,7.284827414,8.336230493,9.3647235,9.123885926,7.973382831,8.548697948,10.14986115,9.863991807,6.848489821,9.579245432,3.79420932
1.756348313,6.877717542,2.341239221,2.990266983,4.30034032,7.108657143,2.995821996,6.519610724,4.220961936,1.773707075,6.085095781,7.103914055,8.218433864,11.54471252,6.057618453,7.320663079,5.349084912,5.055139115,4.633121729,4.062739477,6.660390575,5.201109574,7.190318073,8.680994989,3.344399224,4.417661145,5.063252981,5.64029724,4.344777147,5.080011056,2.816618058,4.399922388,5.898416568,6.266375382,3.462828105,3.913203652,4.030410057,5.416116451,5.24676081,8.861149234,6.71191108,8.828882973,8.828882973,3.433740606,2.91569507,2.857868183,10.73231027,4.17585314,1.9863861,7.378189282,2.596436517,3.661022495,4.231845422,4.419773239,10.48781531,5.371710911,9.654841993,10.02674819,9.873543198,7.271992805,9.090464681,10.83077147,12.05780217,6.166236918,8.869248189,4.552052419
